"time","adder.y","source1.y","source2.y"
0.5589,1.06042,0.530254,0.530254
0.559,1.06059,0.530339,0.530339
0.5591,1.06076,0.530423,0.530423
0.5592,1.06093,0.530508,0.530508
0.5593,1.0611,0.530593,0.530593
0.5594,1.06127,0.530678,0.530678
0.5595,1.06144,0.530763,0.530763
0.5596,1.06161,0.530847,0.530847
0.5597,1.06178,0.530932,0.530932
0.5598,1.06195,0.531017,0.531017
0.5599,1.06212,0.531101,0.531101
0.56,1.06229,0.531186,0.531186
0.5601,1.06246,0.531271,0.531271
0.5602,1.06263,0.531356,0.531356
0.5603,1.0628,0.53144,0.53144
0.5604,1.06297,0.531525,0.531525
0.5605,1.06313,0.53161,0.53161
0.5606,1.0633,0.531694,0.531694
0.5607,1.06347,0.531779,0.531779
0.5608,1.06364,0.531864,0.531864
0.5609,1.06381,0.531949,0.531949
0.561,1.06398,0.532033,0.532033
0.5611,1.06415,0.532118,0.532118
0.5612,1.06432,0.532203,0.532203
0.5613,1.06449,0.532287,0.532287
0.5614,1.06466,0.532372,0.532372
0.5615,1.06483,0.532456,0.532456
0.5616,1.065,0.532541,0.532541
0.5617,1.06517,0.532626,0.532626
0.5618,1.06534,0.53271,0.53271
0.5619,1.06551,0.532795,0.532795
0.562,1.06567,0.53288,0.53288
0.5621,1.06584,0.532964,0.532964
0.5622,1.06601,0.533049,0.533049
0.5623,1.06618,0.533133,0.533133
0.5624,1.06635,0.533218,0.533218
0.5625,1.06652,0.533303,0.533303
0.5626,1.06669,0.533387,0.533387
0.5627,1.06686,0.533472,0.533472
0.5628,1.06703,0.533556,0.533556
0.5629,1.0672,0.533641,0.533641
0.563,1.06737,0.533726,0.533726
0.5631,1.06754,0.53381,0.53381
0.5632,1.0677,0.533895,0.533895
0.5633,1.06787,0.533979,0.533979
0.5634,1.06804,0.534064,0.534064
0.5635,1.06821,0.534148,0.534148
0.5636,1.06838,0.534233,0.534233
0.5637,1.06855,0.534317,0.534317
0.5638,1.06872,0.534402,0.534402
0.5639,1.06889,0.534486,0.534486
0.564,1.06906,0.534571,0.534571
0.5641,1.06923,0.534655,0.534655
0.5642,1.0694,0.53474,0.53474
0.5643,1.06956,0.534824,0.534824
0.5644,1.06973,0.534909,0.534909
0.5645,1.0699,0.534993,0.534993
0.5646,1.07007,0.535078,0.535078
0.5647,1.07024,0.535162,0.535162
0.5648,1.07041,0.535247,0.535247
0.5649,1.07058,0.535331,0.535331
0.565,1.07075,0.535416,0.535416
0.5651,1.07092,0.5355,0.5355
0.5652,1.07108,0.535585,0.535585
0.5653,1.07125,0.535669,0.535669
0.5654,1.07142,0.535754,0.535754
0.5655,1.07159,0.535838,0.535838
0.5656,1.07176,0.535922,0.535922
0.5657,1.07193,0.536007,0.536007
0.5658,1.0721,0.536091,0.536091
0.5659,1.07227,0.536176,0.536176
0.566,1.07244,0.53626,0.53626
0.5661,1.0726,0.536345,0.536345
0.5662,1.07277,0.536429,0.536429
0.5663,1.07294,0.536513,0.536513
0.5664,1.07311,0.536598,0.536598
0.5665,1.07328,0.536682,0.536682
0.5666,1.07345,0.536766,0.536766
0.5667,1.07362,0.536851,0.536851
0.5668,1.07379,0.536935,0.536935
0.5669,1.07395,0.53702,0.53702
0.567,1.07412,0.537104,0.537104
0.5671,1.07429,0.537188,0.537188
0.5672,1.07446,0.537273,0.537273
0.5673,1.07463,0.537357,0.537357
0.5674,1.0748,0.537441,0.537441
0.5675,1.07497,0.537526,0.537526
0.5676,1.07514,0.53761,0.53761
0.5677,1.0753,0.537694,0.537694
0.5678,1.07547,0.537779,0.537779
0.5679,1.07564,0.537863,0.537863
0.568,1.07581,0.537947,0.537947
0.5681,1.07598,0.538031,0.538031
0.5682,1.07615,0.538116,0.538116
0.5683,1.07632,0.5382,0.5382
0.5684,1.07648,0.538284,0.538284
0.5685,1.07665,0.538369,0.538369
0.5686,1.07682,0.538453,0.538453
0.5687,1.07699,0.538537,0.538537
0.5688,1.07716,0.538621,0.538621
0.5689,1.07733,0.538706,0.538706
0.569,1.0775,0.53879,0.53879
0.5691,1.07766,0.538874,0.538874
0.5692,1.07783,0.538958,0.538958
0.5693,1.078,0.539043,0.539043
0.5694,1.07817,0.539127,0.539127
0.5695,1.07834,0.539211,0.539211
0.5696,1.07851,0.539295,0.539295
0.5697,1.07867,0.539379,0.539379
